OBJECTID	WheatYield	Wheatbyprod	WheatCRep	RapsYield	RapsByprod	RapsCRep	DeltaC	DeltaCO2	DeltaCPetersen	CO2Lossha	CO2Pix
359264	37,41403026	566,298762	1035,758184	27,2	757,526528	980,2929152	55,46526909	203,3726533	5,546526909	20,33726533	508,4316333
326573	32,5997249	493,4294361	937,8665063	23,7	660,050688	864,3434592	73,52304705	269,5845059	7,352304705	26,95845059	673,9612647
386902	49,10591472	743,2671252	1273,495117	35,7	994,253568	1261,884451	11,61066576	42,57244112	1,161066576	4,257244112	106,4311028
358707	48,14305365	728,69326	1253,916781	35	974,7584	1238,69456	15,22222139	55,81481177	1,522222139	5,581481177	139,5370294
338776	46,2173315	699,5455296	1214,76011	33,6	935,768064	1192,314778	22,44533246	82,29955234	2,244533246	8,229955234	205,7488808
323123	45,66712517	691,2176066	1203,57249	33,2	924,627968	1179,063411	24,50907844	89,86662096	2,450907844	8,986662096	224,6665524
333940	37,1389271	562,1348006	1030,164374	27	751,95648	973,667232	56,49714219	207,156188	5,649714219	20,7156188	517,8904701
377202	40,57771664	614,1843191	1100,087001	29,5	821,58208	1056,488272	43,5987293	159,8620074	4,35987293	15,98620074	399,6550186
335380	46,07977992	697,4635489	1211,963205	33,5	932,98304	1189,001936	22,961269	84,19131968	2,2961269	8,419131968	210,4782992
363213	42,64099037	645,4140302	1142,040578	31	863,35744	1106,180896	35,85968169	131,4854995	3,585968169	13,14854995	328,7137488
339222	32,5997249	493,4294361	937,8665063	23,7	660,050688	864,3434592	73,52304705	269,5845059	7,352304705	26,95845059	673,9612647
379401	40,57771664	614,1843191	1100,087001	29,5	821,58208	1056,488272	43,5987293	159,8620074	4,35987293	15,98620074	399,6550186
328256	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
368943	37,41403026	566,298762	1035,758184	27,2	757,526528	980,2929152	55,46526909	203,3726533	5,546526909	20,33726533	508,4316333
378107	42,64099037	645,4140302	1142,040578	31	863,35744	1106,180896	35,85968169	131,4854995	3,585968169	13,14854995	328,7137488
358857	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
386382	49,2434663	745,3491059	1276,292022	35,8	997,038592	1265,197293	11,09472921	40,68067377	1,109472921	4,068067377	101,7016844
371244	32,5997249	493,4294361	937,8665063	23,7	660,050688	864,3434592	73,52304705	269,5845059	7,352304705	26,95845059	673,9612647
293316	41,95323246	635,0041265	1128,056052	30,5	849,43232	1089,616688	38,43936423	140,9443355	3,843936423	14,09443355	352,3608387
317130	41,95323246	635,0041265	1128,056052	30,5	849,43232	1089,616688	38,43936423	140,9443355	3,843936423	14,09443355	352,3608387
360005	37,41403026	566,298762	1035,758184	27,2	757,526528	980,2929152	55,46526909	203,3726533	5,546526909	20,33726533	508,4316333
350304	46,07977992	697,4635489	1211,963205	33,5	932,98304	1189,001936	22,961269	84,19131968	2,2961269	8,419131968	210,4782992
363776	38,23933975	578,7906465	1052,539615	27,8	774,236672	1000,169965	52,36965001	192,02205	5,236965001	19,202205	480,0551251
306446	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
344615	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
359487	42,64099037	645,4140302	1142,040578	31	863,35744	1106,180896	35,85968169	131,4854995	3,585968169	13,14854995	328,7137488
322853	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
378203	49,2434663	745,3491059	1276,292022	35,8	997,038592	1265,197293	11,09472921	40,68067377	1,109472921	4,068067377	101,7016844
361626	47,31774415	716,2013755	1237,135351	34,4	958,048256	1218,81751	18,31784027	67,16541434	1,831784027	6,716541434	167,9135358
328018	38,23933975	578,7906465	1052,539615	27,8	774,236672	1000,169965	52,36965001	192,02205	5,236965001	19,202205	480,0551251
327382	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
370018	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
356966	46,07977992	697,4635489	1211,963205	33,5	932,98304	1189,001936	22,961269	84,19131968	2,2961269	8,419131968	210,4782992
342020	31,91196699	483,0195324	923,8819808	23,2	646,125568	847,7792512	76,10272959	279,0433418	7,610272959	27,90433418	697,6083546
360846	32,5997249	493,4294361	937,8665063	23,7	660,050688	864,3434592	73,52304705	269,5845059	7,352304705	26,95845059	673,9612647
316886	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
264680	40,30261348	610,0203576	1094,493191	29,3	816,012032	1049,862589	44,6306024	163,6455421	4,46306024	16,36455421	409,1138553
281629	40,44016506	612,1023383	1097,290096	29,4	818,797056	1053,17543	44,11466585	161,7537748	4,411466585	16,17537748	404,3844369
291458	39,20220083	593,3645118	1072,117951	28,5	793,73184	1023,359856	48,75809458	178,7796801	4,875809458	17,87796801	446,9492003
370677	49,2434663	745,3491059	1276,292022	35,8	997,038592	1265,197293	11,09472921	40,68067377	1,109472921	4,068067377	101,7016844
366761	38,23933975	578,7906465	1052,539615	27,8	774,236672	1000,169965	52,36965001	192,02205	5,236965001	19,202205	480,0551251
345202	32,5997249	493,4294361	937,8665063	23,7	660,050688	864,3434592	73,52304705	269,5845059	7,352304705	26,95845059	673,9612647
366791	32,5997249	493,4294361	937,8665063	23,7	660,050688	864,3434592	73,52304705	269,5845059	7,352304705	26,95845059	673,9612647
311881	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
318195	40,44016506	612,1023383	1097,290096	29,4	818,797056	1053,17543	44,11466585	161,7537748	4,411466585	16,17537748	404,3844369
308714	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
310722	40,44016506	612,1023383	1097,290096	29,4	818,797056	1053,17543	44,11466585	161,7537748	4,411466585	16,17537748	404,3844369
376635	49,2434663	745,3491059	1276,292022	35,8	997,038592	1265,197293	11,09472921	40,68067377	1,109472921	4,068067377	101,7016844
287887	41,26547455	624,5942228	1114,071527	30	835,5072	1073,05248	41,01904676	150,4031715	4,101904676	15,04031715	376,0079287
254308	41,26547455	624,5942228	1114,071527	30	835,5072	1073,05248	41,01904676	150,4031715	4,101904676	15,04031715	376,0079287
321790	42,09078404	637,0861072	1130,852957	30,6	852,217344	1092,92953	37,92342768	139,0525682	3,792342768	13,90525682	347,6314204
313818	37,1389271	562,1348006	1030,164374	27	751,95648	973,667232	56,49714219	207,156188	5,649714219	20,7156188	517,8904701
385427	49,10591472	743,2671252	1273,495117	35,7	994,253568	1261,884451	11,61066576	42,57244112	1,161066576	4,257244112	106,4311028
84441	36,31361761	549,6429161	1013,382944	26,4	735,246336	953,7901824	59,59276127	218,5067913	5,959276127	21,85067913	546,2669783
376390	37,41403026	566,298762	1035,758184	27,2	757,526528	980,2929152	55,46526909	203,3726533	5,546526909	20,33726533	508,4316333
357009	46,07977992	697,4635489	1211,963205	33,5	932,98304	1189,001936	22,961269	84,19131968	2,2961269	8,419131968	210,4782992
374368	42,64099037	645,4140302	1142,040578	31	863,35744	1106,180896	35,85968169	131,4854995	3,585968169	13,14854995	328,7137488
362555	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
342351	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
360241	42,64099037	645,4140302	1142,040578	31	863,35744	1106,180896	35,85968169	131,4854995	3,585968169	13,14854995	328,7137488
324582	46,2173315	699,5455296	1214,76011	33,6	935,768064	1192,314778	22,44533246	82,29955234	2,244533246	8,229955234	205,7488808
346242	46,2173315	699,5455296	1214,76011	33,6	935,768064	1192,314778	22,44533246	82,29955234	2,244533246	8,229955234	205,7488808
329072	46,2173315	699,5455296	1214,76011	33,6	935,768064	1192,314778	22,44533246	82,29955234	2,244533246	8,229955234	205,7488808
373588	47,31774415	716,2013755	1237,135351	34,4	958,048256	1218,81751	18,31784027	67,16541434	1,831784027	6,716541434	167,9135358
373308	38,6519945	585,0365888	1060,93033	28,1	782,591744	1010,10849	50,82184057	186,3467487	5,082184057	18,63467487	465,8668719
345517	46,2173315	699,5455296	1214,76011	33,6	935,768064	1192,314778	22,44533246	82,29955234	2,244533246	8,229955234	205,7488808
368233	40,57771664	614,1843191	1100,087001	29,5	821,58208	1056,488272	43,5987293	159,8620074	4,35987293	15,98620074	399,6550186
199191	37,27647868	564,2167813	1032,961279	27,1	754,741504	976,9800736	55,98120564	205,2644207	5,598120564	20,52644207	513,1610517
338290	38,6519945	585,0365888	1060,93033	28,1	782,591744	1010,10849	50,82184057	186,3467487	5,082184057	18,63467487	465,8668719
345207	32,5997249	493,4294361	937,8665063	23,7	660,050688	864,3434592	73,52304705	269,5845059	7,352304705	26,95845059	673,9612647
381781	47,31774415	716,2013755	1237,135351	34,4	958,048256	1218,81751	18,31784027	67,16541434	1,831784027	6,716541434	167,9135358
350363	38,23933975	578,7906465	1052,539615	27,8	774,236672	1000,169965	52,36965001	192,02205	5,236965001	19,202205	480,0551251
319874	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
385956	38,6519945	585,0365888	1060,93033	28,1	782,591744	1010,10849	50,82184057	186,3467487	5,082184057	18,63467487	465,8668719
366746	38,23933975	578,7906465	1052,539615	27,8	774,236672	1000,169965	52,36965001	192,02205	5,236965001	19,202205	480,0551251
308753	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
256421	40,30261348	610,0203576	1094,493191	29,3	816,012032	1049,862589	44,6306024	163,6455421	4,46306024	16,36455421	409,1138553
344696	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
367769	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
347706	46,2173315	699,5455296	1214,76011	33,6	935,768064	1192,314778	22,44533246	82,29955234	2,244533246	8,229955234	205,7488808
365547	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
320764	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
289379	41,26547455	624,5942228	1114,071527	30	835,5072	1073,05248	41,01904676	150,4031715	4,101904676	15,04031715	376,0079287
361737	42,64099037	645,4140302	1142,040578	31	863,35744	1106,180896	35,85968169	131,4854995	3,585968169	13,14854995	328,7137488
334968	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
348736	38,6519945	585,0365888	1060,93033	28,1	782,591744	1010,10849	50,82184057	186,3467487	5,082184057	18,63467487	465,8668719
333209	38,23933975	578,7906465	1052,539615	27,8	774,236672	1000,169965	52,36965001	192,02205	5,236965001	19,202205	480,0551251
344661	45,39202201	687,0536451	1197,97868	33	919,05792	1172,437728	25,54095154	93,65015565	2,554095154	9,365015565	234,1253891
351028	46,07977992	697,4635489	1211,963205	33,5	932,98304	1189,001936	22,961269	84,19131968	2,2961269	8,419131968	210,4782992
370473	38,23933975	578,7906465	1052,539615	27,8	774,236672	1000,169965	52,36965001	192,02205	5,236965001	19,202205	480,0551251
329442	37,1389271	562,1348006	1030,164374	27	751,95648	973,667232	56,49714219	207,156188	5,649714219	20,7156188	517,8904701
328661	40,44016506	612,1023383	1097,290096	29,4	818,797056	1053,17543	44,11466585	161,7537748	4,411466585	16,17537748	404,3844369
